"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-17",,," 1300",,"72","54",,,,"  180",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-18",,," 1618",,"69","52",,,,"  293",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-19",,," 1600",,"70","52",,,,"  293",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-20",,," 1506",,"84","53",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-21",,," 1854",,"86","54",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-22",,," 1600",,"75","53",,,,"  315",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-23",,," 1718",,"73","53",,,,"  315",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-24",,," 1512",,"74","53",,,,"  270",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-25",,," 1512",,"70","52",,,,"  180",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-26",,," 1624",,"68","50",,,,"  315",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-27",,," 1618",,"66","51",,,,"  293",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-28",,," 1454",,"61","52",,,,"  270",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-29",,," 1654",,"65","52",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-30",,," 1448",,"62","53",,,,"  270",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-01",,," 1512",,"67","53",,,,"  293",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-07-02",,," 1648",,"72","50",,,,"  315",,,,,"27.5",
